deal_id,datetime,pair,timeframe,direction,profit_loss,entry_price,take_price,stop_price,take_dist_perc,stop_dist_perc,best_price,worst_price,best_price_perc,worst_price_perc,current_price,current_price_perc,status,finish_time,indicators
73,2024-06-07 22:35:11,ARBUSDT,5m,long,2.21,0.9749,1.021,0.955,4.76,2.04,1.008,0.9543,3.4,2.11,0.9571,-1.83,loss,2024-06-08 16:24:04,RSI:43;
74,2024-06-07 22:40:04,BTCUSDT,5m,long,1.23,69337.68,70282.596,68669.896,1.36,0.96,70165.8,68507.66,1.19,1.2,68563.12,-1.12,loss,2024-06-11 04:58:03,RSI:47;
75,2024-06-07 22:40:44,ETCUSDT,5m,long,1.77,26.82,27.569,26.43,2.79,1.45,27.19,26.36,1.38,1.72,26.5,-1.19,loss,2024-06-08 16:32:06,RSI:44;
76,2024-06-07 22:45:13,ARBUSDT,5m,long,1.2,0.9841,1.024,0.9523,4.06,3.24,1.008,0.9511,2.43,3.35,0.9569,-2.76,loss,2024-06-08 16:32:03,RSI:47;
77,2024-06-07 23:35:44,ETCUSDT,5m,long,2.01,26.9,27.593,26.588,2.58,1.16,27.19,26.57,1.08,1.23,26.61,-1.08,loss,2024-06-08 15:02:06,RSI:49;
78,2024-06-08 11:25:14,BNBUSDT,5m,short,1.12,691.8,684.1,697.65,1.11,0.85,683.8,694.0,1.16,0.32,684.0,1.13,win,2024-06-08 14:52:05,RSI:51;
79,2024-06-10 14:25:20,ADAUSDT,5m,short,3.64,0.4466,0.4317,0.4502,3.34,0.82,0.43,0.449,3.72,0.54,0.43,3.72,win,2024-06-11 04:53:03,RSI:52;
80,2024-06-11 06:10:04,BTCUSDT,5m,long,1.2,68318.79,69050.43,67810.763,1.07,0.74,68488.0,67617.0,0.25,1.03,67723.98,-0.87,loss,2024-06-11 07:27:02,RSI:35;
81,2024-06-11 09:10:25,SOLUSDT,5m,long,1.05,154.6,156.266,153.261,1.08,0.87,154.77,152.4,0.11,1.42,152.9,-1.1,loss,2024-06-11 09:57:03,
82,2024-06-11 20:00:24,DOTUSDT,5m,short,1.1,6.322,6.248,6.379,1.16,0.9,6.243,6.339,1.25,0.27,6.263,0.93,win,2024-06-11 20:24:03,
83,2024-06-11 21:50:38,MAGICUSDT,5m,short,1.29,0.7166,0.7081,0.7222,1.19,0.78,0.7138,0.7223,0.39,0.8,0.7223,-0.8,loss,2024-06-12 00:56:12,
84,2024-06-12 06:15:32,DOGEUSDT,5m,short,1.78,0.1377,0.1349,0.1391,2.06,1.03,0.13769,0.1392,0.0,1.09,0.1392,-1.09,loss,2024-06-12 07:09:03,RSI:53;
85,2024-06-12 06:30:42,DYDXUSDT,5m,short,1.91,1.668,1.639,1.681,1.72,0.78,1.664,1.683,0.24,0.9,1.683,-0.9,loss,2024-06-12 07:19:03,RSI:51;
86,2024-06-12 16:30:47,ETCUSDT,5m,short,1.26,26.31,25.82,26.661,1.86,1.33,26.27,26.68,0.15,1.41,26.68,-1.41,loss,2024-06-12 17:34:03,RSI:58;
87,2024-06-12 18:35:26,APTUSDT,5m,short,4.13,8.47,7.952,8.587,6.12,1.38,7.92,8.54,6.49,0.83,7.94,6.26,win,2024-06-13 06:19:03,RSI:55;
88,2024-06-12 23:45:22,ADAUSDT,5m,long,1.16,0.4376,0.4424,0.4341,1.1,0.8,0.4394,0.4337,0.41,0.89,0.4339,-0.85,loss,2024-06-13 05:08:03,
89,2024-06-13 07:05:25,SOLUSDT,5m,long,1.57,151.97,157.024,148.954,3.33,1.98,152.82,148.65,0.56,2.18,148.86,-2.05,loss,2024-06-13 17:26:15,
90,2024-06-13 20:01:26,LUNAUSDT,5m,long,1.58,0.5242,0.5341,0.5186,1.9,1.07,0.5429,0.5233,3.57,0.17,0.5306,1.22,win,2024-06-13 23:58:03,RSI:47;
91,2024-06-14 18:35:49,NEARUSDT,5m,long,1.51,5.729,5.894,5.628,2.87,1.77,5.738,5.623,0.16,1.85,5.627,-1.78,loss,2024-06-14 19:06:12,RSI:42;
92,2024-06-15 01:25:24,DOTUSDT,5m,short,1.18,6.155,6.07,6.217,1.38,1.01,6.109,6.218,0.75,1.02,6.212,-0.93,loss,2024-06-15 08:46:14,RSI:52;
93,2024-06-15 01:30:14,ARBUSDT,5m,short,1.13,0.9093,0.8992,0.9168,1.11,0.83,0.9076,0.9171,0.19,0.86,0.9168,-0.82,loss,2024-06-15 03:18:05,RSI:52;
94,2024-06-15 01:30:22,ADAUSDT,5m,short,1.1,0.4107,0.4064,0.414,1.04,0.79,0.4082,0.4142,0.61,0.85,0.4141,-0.83,loss,2024-06-15 08:44:03,RSI:55;
95,2024-06-15 01:30:48,ETCUSDT,5m,short,1.53,25.01,24.681,25.192,1.32,0.73,24.97,25.22,0.16,0.84,25.22,-0.84,loss,2024-06-15 01:53:06,RSI:57;
96,2024-06-15 01:31:15,JOEUSDT,5m,short,1.42,0.3742,0.3672,0.3786,1.87,1.18,0.3709,0.3788,0.88,1.23,0.3782,-1.07,loss,2024-06-15 17:48:04,RSI:53;
97,2024-06-15 06:50:49,NEARUSDT,5m,short,2.51,5.614,5.471,5.665,2.54,0.9,5.591,5.666,0.41,0.93,5.666,-0.93,loss,2024-06-15 17:48:05,RSI:55;
98,2024-06-16 05:16:01,LUNAUSDT,5m,short,1.38,0.5064,0.4954,0.5137,2.17,1.44,0.4979,0.5139,1.68,1.48,0.5128,-1.26,loss,2024-06-16 08:33:04,RSI:53;
99,2024-06-16 10:51:00,SUIUSDT,5m,short,1.74,0.9436,0.9293,0.9506,1.51,0.74,0.9386,0.9507,0.53,0.75,0.95,-0.68,loss,2024-06-16 17:18:03,RSI:56;
100,2024-06-17 02:41:12,JOEUSDT,5m,short,1.01,0.3818,0.378,0.3849,0.99,0.82,0.3812,0.3857,0.16,1.02,0.3856,-1.0,loss,2024-06-17 03:29:03,RSI:51;
