deal_id,datetime,pair,timeframe,direction,profit_loss,entry_price,take_price,stop_price,take_dist_perc,stop_dist_perc,best_price,worst_price,status,indicators
171,2023-06-06 23:40:23,MAGICUSDT,5m,short,2.45,0.9246,0.886315,0.93999,4.14,1.66,0.9227,0.9407,loss,
172,2023-06-07 00:00:25,MATICUSDT,5m,short,3.14,0.8149,0.800935,0.81927,1.71,0.54,0.8117,0.8196,loss,
173,2023-06-07 00:10:23,DOGEUSDT,5m,short,2.86,0.07024,0.0688055,0.070734,2.04,0.7,0.06986,0.07078,loss,
174,2023-06-07 00:15:26,MAGICUSDT,5m,long,2.57,0.9309,0.949045,0.923965,1.95,0.74,0.9516,0.927,win,
175,2023-06-07 00:15:27,DYDXUSDT,5m,long,11.96,2.129,2.2791,2.11665,7.05,0.58,2.136,2.116,loss,
176,2023-06-07 00:35:21,MATICUSDT,5m,short,1.94,0.812,0.80079,0.8177,1.38,0.7,0.8117,0.8178,loss,
177,2023-06-07 00:40:11,LUNCUSDT,5m,short,2.63,9.692e-05,9.32625e-05,9.8288e-05,3.77,1.41,9.649e-05,9.831e-05,loss,
178,2023-06-07 00:50:35,GALAUSDT,5m,long,3.15,0.0276,0.028056,0.0274575,1.65,0.52,0.02777,0.02743,loss,
179,2023-06-07 00:55:24,MAGICUSDT,5m,long,1.97,0.9348,0.94924,0.92758,1.54,0.77,0.9516,0.9318,win,
180,2023-06-07 00:55:29,NEARUSDT,5m,long,2.26,1.528,1.54985,1.5185,1.43,0.62,1.54,1.504,loss,
181,2023-06-07 01:05:33,LINAUSDT,5m,long,2.58,0.014475,0.0147087,0.0143857,1.61,0.62,0.014725,0.014452,win,
182,2023-06-07 01:25:11,LUNCUSDT,5m,short,2.85,9.654e-05,9.32435e-05,9.768e-05,3.41,1.18,9.649e-05,9.774e-05,loss,
183,2023-06-07 01:45:26,DYDXUSDT,5m,long,12.97,2.134,2.4095,2.1131,12.91,0.98,2.147,2.111,loss,
184,2023-06-07 01:55:12,LUNCUSDT,5m,long,5.5,9.892e-05,0.000104126,9.7989e-05,5.26,0.94,9.943e-05,9.792e-05,loss,
185,2023-06-07 01:55:28,DYDXUSDT,5m,long,14.55,2.143,2.40995,2.12495,12.46,0.84,2.147,2.121,loss,
186,2023-06-07 03:20:21,DOGEUSDT,5m,short,2.33,0.06982,0.0687845,0.070257,1.48,0.63,0.06878,0.07011,win,
187,2023-06-07 03:20:34,SUIUSDT,5m,short,4.34,0.8171,0.753355,0.83154,7.8,1.77,0.7489,0.8213,win,
188,2023-06-07 09:40:36,LINAUSDT,5m,short,4.04,0.013913,0.01337815,0.01404315,3.84,0.94,0.013176,0.013982,win,
189,2023-06-07 09:50:15,ADAUSDT,5m,short,2.39,0.3438,0.336865,0.34665,2.02,0.83,0.3363,0.344,win,
190,2023-06-07 10:15:31,GALAUSDT,5m,short,6.17,0.02687,0.025977,0.0270125,3.32,0.53,0.02685,0.02702,loss,
191,2023-06-07 10:15:34,SUIUSDT,5m,short,5.3,0.7823,0.751615,0.788,3.92,0.73,0.7814,0.7882,loss,
192,2023-06-07 11:30:37,LUNAUSDT,5m,long,4.97,0.7895,0.816385,0.78418,3.41,0.67,0.8096,0.7839,loss,
193,2023-06-07 11:40:23,OPUSDT,5m,long,2.85,1.452,1.47955,1.4425,1.9,0.65,1.454,1.44,loss,
194,2023-06-07 12:00:40,LINAUSDT,5m,short,19.9,0.01372,0.01158725,0.01382545,15.54,0.77,0.009973,0.01372,win,
195,2023-06-07 12:05:13,LTCUSDT,5m,long,2.15,90.54,91.5375,90.084,1.1,0.5,90.56,90.07,loss,
196,2023-06-07 12:10:08,ETHUSDT,5m,short,2.13,1872.13,1848.209,1883.1785,1.28,0.59,1846.67,1873.21,win,
197,2023-06-07 12:20:33,GALAUSDT,5m,short,3.2,0.02684,0.0259755,0.027106,3.22,0.99,0.02597,0.02691,win,
198,2023-06-07 12:50:12,ARBUSDT,5m,short,2.29,1.1553,1.12946,1.166415,2.24,0.96,1.1341,1.1675,loss,
199,2023-06-07 12:50:24,OPUSDT,5m,short,2.31,1.399,1.3477,1.42085,3.67,1.56,1.355,1.424,loss,
200,2023-06-07 12:50:39,GALAUSDT,5m,short,1.94,0.02666,0.0259665,0.0270115,2.6,1.32,0.02589,0.02691,win,
201,2023-06-07 12:50:42,SUIUSDT,5m,short,4.58,0.7781,0.75644,0.782755,2.78,0.6,0.7602,0.7859,loss,
