deal_id,datetime,pair,timeframe,direction,profit_loss,entry_price,take_price,stop_price,take_dist_perc,stop_dist_perc,best_price,worst_price,best_price_perc,worst_price_perc,current_price,current_price_perc,status,finish_time,indicators
111,2023-06-23 10:10:38,FILUSDT,5m,short,1.3,3.957,3.917,3.982,1.01,0.64,3.947,3.983,0.25,0.66,3.981,-0.61,loss,2023-06-23 11:01:14,
112,2023-06-23 10:10:39,EDUUSDT,5m,short,2.42,0.7967,0.7717,0.8062,3.14,1.18,0.777,0.8066,2.47,1.24,0.8036,-0.87,loss,2023-06-23 18:24:17,
113,2023-06-23 11:05:09,TRXUSDT,5m,short,1.59,0.07222,0.0714,0.07264,1.13,0.58,0.07152,0.07305,0.97,1.15,0.07287,-0.9,loss,2023-06-23 18:54:22,
114,2023-06-23 11:15:39,FILUSDT,5m,long,1.57,3.982,4.02,3.963,0.96,0.48,4.025,3.982,1.08,0.0,4.022,1.0,win,2023-06-23 11:28:16,
115,2023-06-23 12:05:15,LTCUSDT,5m,long,1.04,87.55,88.59,86.686,1.19,0.99,87.97,86.64,0.48,1.04,86.78,-0.88,loss,2023-06-23 12:27:17,
116,2023-06-23 12:20:34,SUIUSDT,5m,short,1.93,0.7906,0.767,0.8019,2.99,1.43,0.7856,0.8041,0.63,1.71,0.8041,-1.71,loss,2023-06-23 18:00:56,
117,2023-06-23 12:25:10,LUNCUSDT,5m,short,1.19,9.039e-05,8.912e-05,9.133e-05,1.41,1.04,8.974e-05,9.174e-05,0.72,1.49,9.168e-05,-1.43,loss,2023-06-23 14:38:16,
118,2023-06-23 12:25:23,MATICUSDT,5m,short,1.15,0.6678,0.6631,0.6709,0.71,0.47,0.664,0.6711,0.57,0.49,0.6699,-0.31,loss,2023-06-23 12:55:48,
119,2023-06-23 12:25:35,GALAUSDT,5m,short,1.89,0.02511,0.02473,0.02528,1.5,0.67,0.02477,0.02531,1.35,0.8,0.02526,-0.6,loss,2023-06-23 17:50:52,
120,2023-06-23 12:30:42,PEPEUSDT,5m,short,1.26,1.53e-06,1.482e-06,1.566e-06,3.14,2.35,1.52e-06,1.57e-06,0.65,2.61,1.56e-06,-1.96,loss,2023-06-23 12:55:49,
121,2023-06-23 12:50:21,DOGEUSDT,5m,short,1.17,0.06604,0.06522,0.06664,1.24,0.91,0.06525,0.06669,1.2,0.98,0.06664,-0.91,loss,2023-06-23 18:17:15,
122,2023-06-23 12:55:07,BTCUSDT,5m,long,3.12,30156.12,30671.224,30022.812,1.71,0.44,30195.0,29980.0,0.13,0.58,29980.0,-0.58,loss,2023-06-23 13:26:13,
123,2023-06-23 13:15:18,DOTUSDT,5m,long,8.54,4.911,5.676,4.826,15.57,1.73,5.238,4.767,6.66,2.93,4.78,-2.67,loss,2023-06-28 22:32:15,
124,2023-06-23 13:25:29,MASKUSDT,5m,short,1.61,3.741,3.685,3.771,1.5,0.8,3.663,3.747,2.09,0.16,3.67,1.9,win,2023-06-23 15:39:24,
125,2023-06-23 14:40:27,MAGICUSDT,5m,long,2.17,0.8166,0.833,0.81,2.01,0.81,0.8199,0.8069,0.4,1.19,0.8077,-1.09,loss,2023-06-23 15:39:21,
